Draw Date,White Balls,MegaBall,Jackpot
01/02/2024,3 18 27 29 64,1,$114 Million
12/29/2023,11 27 30 62 70,10,$92 Million
12/26/2023,8 10 22 58 64,21,$73 Million
12/22/2023,10 26 36 54 69,4,$57 Million
12/19/2023,17 26 50 58 61,11,$41 Million
12/15/2023,10 20 28 40 54,12,$28 Million
12/12/2023,8 23 44 45 53,3,$20 Million
12/08/2023,21 26 53 66 70,13,$395 Million
12/05/2023,18 35 40 64 67,18,$377 Million
12/01/2023,12 47 49 52 65,12,$355 Million
11/28/2023,27 37 42 59 61,11,$335 Million
11/24/2023,6 15 45 59 68,1,$308 Million
11/21/2023,17 22 25 30 38,24,$289 Million
11/17/2023,6 12 31 33 69,17,$267 Million
11/14/2023,29 35 59 61 69,22,$245 Million
11/10/2023,13 33 59 68 70,8,$223 Million
11/07/2023,3 11 33 42 52,20,$196 Million
11/03/2023,15 32 38 47 65,12,$181 Million
10/31/2023,14 35 37 55 70,15,$159 Million
10/27/2023,11 32 43 57 70,6,$137 Million
10/24/2023,16 20 30 54 59,7,$114 Million
10/20/2023,7 29 36 49 61,22,$91 Million
10/17/2023,5 6 29 32 61,20,$69 Million
10/13/2023,6 18 44 46 68,18,$48 Million
10/10/2023,3 8 17 46 63,7,$20 Million
10/06/2023,12 24 46 57 66,22,$360 Million
10/03/2023,3 19 32 39 59,24,$315 Million
09/29/2023,18 40 47 55 64,11,$267 Million
09/26/2023,15 30 35 42 60,16,$230 Million
09/22/2023,10 13 14 57 66,3,$205 Million
09/19/2023,6 9 13 29 66,24,$183 Million
09/15/2023,5 13 29 50 53,25,$162 Million
09/12/2023,2 14 21 42 67,18,$141 Million
09/08/2023,3 12 17 51 62,1,$122 Million
09/05/2023,3 43 50 51 65,13,$101 Million
09/01/2023,10 31 42 43 55,8,$85 Million
08/29/2023,9 39 52 61 63,25,$67 Million
08/25/2023,12 23 26 31 38,2,$52 Million
08/22/2023,1 12 26 36 50,7,$33 Million
08/18/2023,10 20 29 44 66,11,$20 Million
08/15/2023,18 39 42 57 63,7,$36 Million
08/11/2023,8 9 18 35 41,18,$20 Million
08/08/2023,13 19 20 32 33,14,$1.602 Billion
08/04/2023,11 30 45 52 56,20,$1.35 Billion
08/01/2023,8 24 30 45 61,12,$1.1 Billion
07/28/2023,5 10 28 52 63,18,$940 Million
07/25/2023,3 5 6 44 61,25,$820 Million
07/21/2023,29 40 47 50 57,25,$720 Million
07/18/2023,19 22 31 37 54,18,$640 Million
